sessionID,series,onset_ms,adj,no adj,Transcription
s014,13,1204,1,0,the big 'Z'/'C'
s014,14,1023,1,0,the big 'O'
s014,15,936,1,0,the small 'x'
s014,16,879,1,0,the small 'a'
s014,17,1213,1,0,the small 'u'
s014,18,880,1,0,the small 'y'
s014,19,bad trial,1,0,bad trial
s014,20,1460,1,0,the small 'q'
s014,21,815,1,0,the small 'b' 
s014,22,1020,1,0,the big 'd' but sounds like another voice saying 't' at end of trial
s014,23,1201,1,0,big 'M'
s014,24,1038,1,0,the big 'W'
s015,13,639,1,0,the bigger 'T'
s015,14,612,1,0,smaller 'd'
s015,15,751,1,0,bigger 'L'
s015,16,805,1,0,smaller 'p'
s015,17,961,1,0,bigger 'R'
s015,18,585,1,0,smaller 'b'
s015,19,1339,1,0,the bigger 'H'
s015,20,844,1,0,the bigger 'Y'
s015,21,757,1,0,bigger 'M'
s015,22,777,1,0,bigger 'G'
s015,23,924,1,0,bigger 'Z'
s015,24,571,1,0,small 's'
s016,13,1044,1,0,big 'R'
s016,14,888,1,0,big 'D'
s016,15,672,1,0,small 'c'/'t'
s016,16,752,1,0,small 't'
s016,17,747,1,0,small 'x'
s016,18,580,1,0,small 's'
s016,19,741,1,0,big 'A'
s016,20,918,1,0,big 'D'
s016,21,681,1,0,small 'd'
s016,22,bad trial,1,0,bad trial (multiple segments of speech)
s016,23,718,1,0,big 'Q'
s016,24,685,1,0,small 'k'
s017,13,2791,1,0,bigger T' (includes an 'umm' before the 'the')
s017,14,1540,1,0,upper 'C' ?!
s017,15,912,1,0,smaller 'e'
s017,16,893,1,0,bigger 'Q'
s017,17,1242,1,0,smaller 'm'/'n'
s017,18,2311,1,0,upper 'A' (includes 'ahhhhm' beforehand)
s017,19,1340,1,0,smaller r'
s017,20,3310,1,0,lower case 's'
s017,21,881,1,0,smaller 's'
s017,22,1179,1,0,smaller 'b'
s017,23,1742,1,0,smaller 'v' 
s017,24,1187,1,0,bigger 'Z'
s018,13,1061,1,0,little 'unknown?!'
s018,14,1044,1,0,small but pink 'e'?
s018,15,1097,1,0,big purple 'I'
s018,16,1130,1,0,small red 'c'??
s018,17,821,1,0,big orange 'X'
s018,18,732,1,0,big pink 'S'
s018,19,883,1,0,big blue 'J'?
s018,20,1540,1,0,small pink 't'
s018,21,1089,1,0,small orange 'q'
s018,22,862,1,0,small purple 't'
s018,23,733,1,0,big 'unknown'
s018,24,820,1,0,small 'r'
s019,13,1255,1,0,large capital 'A'
s019,14,1332,1,0,larger 'G'
s019,15,1265,1,0,larger 'J'
s019,16,835,1,0,larger 'B'
s019,17,893,1,0,larger 'D'
s019,18,709,1,0,smaller 'r'
s019,19,1606,1,0,larger capital 'A'
s019,20,1070,1,0,smaller 'c'
s019,21,860,1,0,smaller 'v' 
s019,22,987,1,0,smaller 'z'
s019,23,1155,1,0,larger 'S'
s019,24,732,1,0,smaller 'n'/'m'
s020,13,1037,1,0,larger red 'M'
s020,14,966,1,0,larger red 'O'
s020,15,1041,1,0,smaller blue 'w' (difficult to read time)
s020,16,1325,1,0,larger orange 'K'
s020,17,1038,1,0,larger blue 'R'
s020,18,1067,1,0,large purple 'F'
s020,19,860,1,0,small orange 's'
s020,20,879,1,0,larger pink 'P'
s020,21,1281,1,0,smaller green 'h'
s020,22,1122,1,0,smaller blue 'z'
s020,23,929,1,0,smaller green 'u'
s020,24,1413,1,0,small pal blue 'q'??
s021,13,789,1,0,big orange 'A'
s021,14,1171,1,0,small 's'
s021,15,1473,1,0,small 'k'
s021,16,1513,1,0,big 'X'
