sessionID,series,onset_ms,postnom,Transcription
s014,13,1204,0,the big 'Z'/'C'
s014,14,1023,0,the big 'O'
s014,15,936,0,the small 'x'
s014,16,879,0,the small 'a'
s014,17,1213,0,the small 'u'
s014,18,880,0,the small 'y'
s014,19,,0,bad trial
s014,20,1460,0,the small 'q'
s014,21,815,0,the small 'b' 
s014,22,1020,0,the big 'd' but sounds like another voice saying 't' at end of trial
s014,23,1201,0,big 'M'
s014,24,1038,0,the big 'W'
s015,13,639,0,the bigger 'T'
s015,14,612,0,smaller 'd'
s015,15,751,0,bigger 'L'
s015,16,805,0,smaller 'p'
s015,17,961,0,bigger 'R'
s015,18,585,0,smaller 'b'
s015,19,1339,0,the bigger 'H'
s015,20,844,0,the bigger 'Y'
s015,21,757,0,bigger 'M'
s015,22,777,0,bigger 'G'
s015,23,924,0,bigger 'Z'
s015,24,571,0,small 's'
s016,13,1044,0,big 'R'
s016,14,888,0,big 'D'
s016,15,672,0,small 'c'/'t'
s016,16,752,0,small 't'
s016,17,747,0,small 'x'
s016,18,580,0,small 's'
s016,19,741,0,big 'A'
s016,20,918,0,big 'D'
s016,21,681,0,small 'd'
s016,22,,0,bad trial (multiple segments of speech)
s016,23,718,0,big 'Q'
s016,24,685,0,small 'k'
s017,13,2791,0,bigger T' (includes an 'umm' before the 'the')
s017,14,1540,0,upper 'C' ?!
s017,15,912,0,smaller 'e'
s017,16,893,0,bigger 'Q'
s017,17,1242,0,smaller 'm'/'n'
s017,18,2311,0,upper 'A' (includes 'ahhhhm' beforehand)
s017,19,1340,0,smaller r'
s017,20,3310,0,lower case 's'
s017,21,881,0,smaller 's'
s017,22,1179,0,smaller 'b'
s017,23,1742,0,smaller 'v' 
s017,24,1187,0,bigger 'Z'
s018,13,1061,0,little 'unknown?!'
s018,14,1044,0,small but pink 'e'?
s018,15,1097,0,big purple 'I'
s018,16,1130,0,small red 'c'??
s018,17,821,0,big orange 'X'
s018,18,732,0,big pink 'S'
s018,19,883,0,big blue 'J'?
s018,20,1540,0,small pink 't'
s018,21,1089,0,small orange 'q'
s018,22,862,0,small purple 't'
s018,23,733,0,big 'unknown'
s018,24,820,0,small 'r'
s019,13,1255,0,large capital 'A'
s019,14,1332,0,larger 'G'
s019,15,1265,0,larger 'J'
s019,16,835,0,larger 'B'
